PRODUCT_NAME,PRODUCT_ID,PRODUCT_CATEGORY,BASE_PRICE_GBP,LAUNCH_YEAR,NOTES
Nintendo Switch,e682,Console,126.00,2017,
Nintendo Switch OLED,e683,Console,187.49,2021,
Nintendo Switch Lite,e681,Console,134.99,2019,
Sony PlayStation 5 Bundle,54ed,Console,898.50,2020,
Sony PS5 Bundle,54ed,Console,824.25,2020,Variant naming included intentionally
PlayStation 5 Console,54e1,Console,374.99,2020,
Xbox Series X Console,x0x1,Console,374.99,2020,
Xbox Series S Console,x0s1,Console,209.99,2020,
Steam Deck 512GB,sd52,Handheld,426.75,2022,
Meta Quest 3 128GB,mq31,VR,359.25,2023,
27in 4K gaming monitor,891b,Monitor,360.00,2019,
27inches 4k gaming monitor,891b,Monitor,360.00,2019,Variant naming included intentionally
"27"" 4K Gaming Monitor",891b,Monitor,360.00,2019,Variant naming included intentionally
32in Curved Gaming Monitor,892c,Monitor,262.49,2021,
JBL Quantum 100 Gaming Headset,a221,Audio,18.00,2020,
Razer Pro Gaming Headset,rph1,Audio,67.49,2021,
Razer Kraken Gaming Headset,rkh2,Audio,52.49,2019,
Logitech G Pro X Headset,lgpx,Audio,82.49,2020,
Dell Gaming Mouse,d771,Accessories,37.49,2018,
Logitech G502 Gaming Mouse,g502,Accessories,41.24,2018,
Razer DeathAdder V2,rdv2,Accessories,29.99,2020,
Corsair K70 RGB Keyboard,ck70,Accessories,89.99,2019,
SteelSeries Apex 3 Keyboard,ssa3,Accessories,44.99,2020,
Lenovo IdeaPad Gaming 3,lpg3,Laptop,674.25,2020,
Acer Nitro V Gaming Laptop,anvg,Laptop,599.25,2023,
ASUS TUF Gaming Laptop,atuf,Laptop,711.75,2021,
MSI GF63 Gaming Laptop,mg63,Laptop,524.25,2019,
Elgato Stream Deck,elsd,Streaming,104.99,2017,
Blue Yeti USB Microphone,byum,Streaming,89.99,2016,
Razer Kiyo Webcam,rkyw,Streaming,59.99,2020,
Seagate 2TB Game Drive,sg2t,Storage,52.49,2018,
WD Black SN850X 1TB SSD,wds1,Storage,67.49,2022,
PlayStation Plus 12 Month,ps12,Digital,44.99,2014,
Xbox Game Pass 3 Month,xgp3,Digital,22.49,2017,
Roblox Gift Card 25,rbgc,Digital,18.75,2015,
Steam Gift Card 50,sgc5,Digital,37.50,2015,
GT Omega Gaming Chair,gtoc,Furniture,142.49,2019,
Secretlab TITAN Evo,slev,Furniture,336.75,2021,
Nintendo Switch,8d0d,Console,126.00,2017,Duplicate/legacy product ID retained from source
Mystery Bundle,,Bundle,,2024,Incomplete reference row
